ecosystem,component_name,component_version,purl,vulnerability_id,cve,vulnerability_description,is_vulnerable
maven,org.apache.tomcat.embed:tomcat-embed-core,11.0.6,pkg:maven/org.apache.tomcat.embed/tomcat-embed-core@11.0.6,GHSA-h2fw-rfh5-95r3,CVE-2025-46701,Apache Tomcat - CGI security constraint bypass,True
maven,org.apache.tomcat.embed:tomcat-embed-core,11.0.6,pkg:maven/org.apache.tomcat.embed/tomcat-embed-core@11.0.6,GHSA-h3gc-qfqq-6h8f,CVE-2025-48988,Apache Tomcat - DoS in multipart upload,True
maven,org.apache.tomcat.embed:tomcat-embed-core,11.0.6,pkg:maven/org.apache.tomcat.embed/tomcat-embed-core@11.0.6,GHSA-hgrr-935x-pq79,CVE-2025-61795,Apache Tomcat Vulnerable to Improper Resource Shutdown or Release,True
maven,org.apache.tomcat.embed:tomcat-embed-core,11.0.6,pkg:maven/org.apache.tomcat.embed/tomcat-embed-core@11.0.6,GHSA-vfww-5hm6-hx2j,CVE-2025-55754,"Apache Tomcat Vulnerable to Improper Neutralization of Escape, Meta, or Control Sequences",True
maven,org.apache.tomcat.embed:tomcat-embed-core,11.0.6,pkg:maven/org.apache.tomcat.embed/tomcat-embed-core@11.0.6,GHSA-wc4r-xq3c-5cf3,CVE-2025-49125,Apache Tomcat - Security constraint bypass for pre/post-resources,True
maven,org.apache.tomcat.embed:tomcat-embed-core,11.0.6,pkg:maven/org.apache.tomcat.embed/tomcat-embed-core@11.0.6,GHSA-wmwf-9ccg-fff5,CVE-2025-55752,Apache Tomcat Vulnerable to Relative Path Traversal,True
maven,junit:junit,4.8.2,pkg:maven/junit/junit@4.8.2,GHSA-269g-pwp5-87pp,CVE-2020-15250,TemporaryFolder on unix-like systems does not limit access to created files,True
maven,junit:junit,4.8.1,pkg:maven/junit/junit@4.8.1,GHSA-269g-pwp5-87pp,CVE-2020-15250,TemporaryFolder on unix-like systems does not limit access to created files,True
maven,org.apache.commons:commons-lang3,3.14.0,pkg:maven/org.apache.commons/commons-lang3@3.14.0,GHSA-j288-q9x7-2f5v,CVE-2025-48924,Apache Commons Lang is vulnerable to Uncontrolled Recursion when processing long inputs,True
maven,org.apache.logging.log4j:log4j-core,2.24.2,pkg:maven/org.apache.logging.log4j/log4j-core@2.24.2,GHSA-vc5p-v9hr-52mj,,Apache Log4j does not verify the TLS hostname in its Socket Appender,True
maven,org.apache.logging.log4j:log4j-core,2.24.1,pkg:maven/org.apache.logging.log4j/log4j-core@2.24.1,GHSA-vc5p-v9hr-52mj,,Apache Log4j does not verify the TLS hostname in its Socket Appender,True
maven,org.apache.tomcat.embed:tomcat-embed-core,11.0.10,pkg:maven/org.apache.tomcat.embed/tomcat-embed-core@11.0.10,GHSA-hgrr-935x-pq79,CVE-2025-61795,Apache Tomcat Vulnerable to Improper Resource Shutdown or Release,True
maven,org.apache.tomcat.embed:tomcat-embed-core,11.0.10,pkg:maven/org.apache.tomcat.embed/tomcat-embed-core@11.0.10,GHSA-vfww-5hm6-hx2j,CVE-2025-55754,"Apache Tomcat Vulnerable to Improper Neutralization of Escape, Meta, or Control Sequences",True
maven,org.apache.tomcat.embed:tomcat-embed-core,11.0.10,pkg:maven/org.apache.tomcat.embed/tomcat-embed-core@11.0.10,GHSA-wmwf-9ccg-fff5,CVE-2025-55752,Apache Tomcat Vulnerable to Relative Path Traversal,True
maven,org.apache.logging.log4j:log4j-core,2.23.1,pkg:maven/org.apache.logging.log4j/log4j-core@2.23.1,GHSA-vc5p-v9hr-52mj,,Apache Log4j does not verify the TLS hostname in its Socket Appender,True
maven,junit:junit,4.7,pkg:maven/junit/junit@4.7,GHSA-269g-pwp5-87pp,CVE-2020-15250,TemporaryFolder on unix-like systems does not limit access to created files,True
maven,org.apache.poi:poi-ooxml,5.2.1,pkg:maven/org.apache.poi/poi-ooxml@5.2.1,GHSA-gmg8-593g-7mv3,CVE-2025-31672,Apache POI OOXML Vulnerable to Improper Input Validation in OOXML File Parsing,True
maven,org.apache.httpcomponents:httpclient,4.5.12,pkg:maven/org.apache.httpcomponents/httpclient@4.5.12,GHSA-7r82-7xv7-xcpj,CVE-2020-13956,Cross-site scripting in Apache HttpClient,True
maven,org.apache.ant:ant,1.10.5,pkg:maven/org.apache.ant/ant@1.10.5,GHSA-4p6w-m9wc-c9c9,CVE-2020-1945,Sensitive Data Exposure in Apache Ant,True
maven,org.apache.ant:ant,1.10.5,pkg:maven/org.apache.ant/ant@1.10.5,GHSA-5v34-g2px-j4fw,CVE-2021-36374,Improper Handling of Length Parameter Inconsistency in Apache Ant,True
maven,org.apache.ant:ant,1.10.5,pkg:maven/org.apache.ant/ant@1.10.5,GHSA-f62v-xpxf-3v68,CVE-2020-11979,Code injection in Apache Ant,True
maven,org.apache.ant:ant,1.10.5,pkg:maven/org.apache.ant/ant@1.10.5,GHSA-q5r4-cfpx-h6fh,CVE-2021-36373,Improper Handling of Length Parameter Inconsistency in Apache Ant,True
maven,com.google.guava:guava,21.0,pkg:maven/com.google.guava/guava@21.0,GHSA-5mg8-w23w-74h3,CVE-2020-8908,Information Disclosure in Guava,True
maven,com.google.guava:guava,21.0,pkg:maven/com.google.guava/guava@21.0,GHSA-7g45-4rm6-3mm3,CVE-2023-2976,Guava vulnerable to insecure use of temporary directory,True
maven,com.google.guava:guava,21.0,pkg:maven/com.google.guava/guava@21.0,GHSA-mvr2-9pj6-7w5j,CVE-2018-10237,Denial of Service in Google Guava,True
maven,org.apache.ant:ant,1.10.8,pkg:maven/org.apache.ant/ant@1.10.8,GHSA-5v34-g2px-j4fw,CVE-2021-36374,Improper Handling of Length Parameter Inconsistency in Apache Ant,True
maven,org.apache.ant:ant,1.10.8,pkg:maven/org.apache.ant/ant@1.10.8,GHSA-f62v-xpxf-3v68,CVE-2020-11979,Code injection in Apache Ant,True
maven,org.apache.ant:ant,1.10.8,pkg:maven/org.apache.ant/ant@1.10.8,GHSA-q5r4-cfpx-h6fh,CVE-2021-36373,Improper Handling of Length Parameter Inconsistency in Apache Ant,True
maven,com.google.guava:guava,14.0.1,pkg:maven/com.google.guava/guava@14.0.1,GHSA-5mg8-w23w-74h3,CVE-2020-8908,Information Disclosure in Guava,True
maven,com.google.guava:guava,14.0.1,pkg:maven/com.google.guava/guava@14.0.1,GHSA-7g45-4rm6-3mm3,CVE-2023-2976,Guava vulnerable to insecure use of temporary directory,True
maven,com.google.guava:guava,14.0.1,pkg:maven/com.google.guava/guava@14.0.1,GHSA-mvr2-9pj6-7w5j,CVE-2018-10237,Denial of Service in Google Guava,True
maven,org.bouncycastle:bcprov-jdk15on,1.68,pkg:maven/org.bouncycastle/bcprov-jdk15on@1.68,GHSA-8xfc-gm6g-vgpv,CVE-2024-29857,Bouncy Castle certificate parsing issues cause high CPU usage during parameter evaluation.,True
maven,org.bouncycastle:bcprov-jdk15on,1.68,pkg:maven/org.bouncycastle/bcprov-jdk15on@1.68,GHSA-hr8g-6v94-x4m9,CVE-2023-33201,Bouncy Castle For Java LDAP injection vulnerability,True
maven,org.bouncycastle:bcprov-jdk15on,1.68,pkg:maven/org.bouncycastle/bcprov-jdk15on@1.68,GHSA-v435-xc8x-wvr9,CVE-2024-30171,"Bouncy Castle affected by timing side-channel for RSA key exchange (""The Marvin Attack"")",True
maven,org.bouncycastle:bcprov-jdk15on,1.68,pkg:maven/org.bouncycastle/bcprov-jdk15on@1.68,GHSA-wjxj-5m7g-mg7q,CVE-2023-33202,Bouncy Castle Denial of Service (DoS),True
